City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,klaksvik,62.2266,-6.589,10.51,98,100,6.46,FO,1715417050
1,ushuaia,-54.8,-68.3,2.81,70,0,4.63,AR,1715416371
2,magadan,59.5667,150.8,3.07,81,100,2.56,RU,1715416646
3,bilibino,68.0546,166.4372,0.25,78,100,1.17,RU,1715416585
4,praia da vitoria,38.7333,-27.0667,18.75,82,40,2.44,PT,1715416578
5,cascais,38.6979,-9.4215,19.73,80,20,5.14,PT,1715417051
6,spring creek,40.7266,-115.5859,4.94,71,1,1.26,US,1715417051
7,namie,37.4833,141.0,18.27,75,27,6.42,JP,1715417023
8,sola,-13.8833,167.55,26.35,70,100,8.36,VU,1715416606
9,cambria,35.5641,-121.0808,13.47,81,0,0.78,US,1715417052
10,grytviken,-54.2811,-36.5092,-3.06,83,67,4.83,GS,1715416568
11,adamstown,-25.066,-130.1015,21.81,79,99,5.63,PN,1715416566
12,tura,25.5198,90.2201,31.19,46,62,2.06,IN,1715416570
13,richards bay,-28.783,32.0377,24.0,71,99,7.39,ZA,1715416595
14,ribeira brava,32.65,-17.0667,22.06,69,16,1.57,PT,1715417049
15,leh,34.1667,77.5833,10.27,57,69,0.97,IN,1715416912
16,cherdyn',60.403,56.4787,3.72,53,100,3.96,RU,1715417054
17,remire-montjoly,4.9167,-52.2667,24.02,100,40,0.0,GF,1715416586
18,puerto ayora,-0.7393,-90.3518,22.53,96,99,2.47,EC,1715416564
19,port-aux-francais,-49.35,70.2167,5.07,76,84,11.67,TF,1715416564
20,victorica,-36.2151,-65.4359,5.13,77,27,4.3,AR,1715417054
21,longyearbyen,78.2186,15.6401,0.91,69,40,6.69,SJ,1715416563
22,port elizabeth,-33.918,25.5701,20.05,60,20,9.26,ZA,1715416566
23,ust-nera,64.5667,143.2,2.31,84,100,1.81,RU,1715416604
24,kiffa,16.6166,-11.4045,36.75,8,71,7.02,MR,1715417057
25,jamestown,42.097,-79.2353,4.8,99,100,1.54,US,1715416579
26,margaret river,-33.95,115.0667,17.81,57,0,2.07,AU,1715416491
27,ilulissat,69.2167,-51.1,-4.99,74,100,0.0,GL,1715416562
28,waitangi,-43.9535,-176.5597,9.34,87,100,5.81,NZ,1715416562
29,qaqortoq,60.7167,-46.0333,0.75,90,90,0.62,GL,1715416270
30,olonkinbyen,70.9221,-8.7187,-0.66,76,61,4.29,SJ,1715416587
31,chegdomyn,51.1167,133.0167,11.66,38,100,3.98,RU,1715417058
32,aasiaat,68.7098,-52.8699,-9.42,92,98,2.81,GL,1715416584
33,blackmans bay,-43.0167,147.3167,10.85,92,42,2.15,AU,1715416560
34,christchurch,-43.5333,172.6333,6.38,76,4,2.06,NZ,1715416974
35,wynyard,-41.0,145.7167,11.86,81,22,2.84,AU,1715417059
36,stanley,54.868,-1.6985,17.01,77,0,1.54,GB,1715416557
37,papatowai,-46.5619,169.4708,8.22,92,61,4.07,NZ,1715416609
38,whitehorse,60.7161,-135.0538,2.43,64,20,3.09,CA,1715416566
39,naracoorte,-36.9579,140.7383,13.88,70,63,1.52,AU,1715417060
40,tukrah,32.5341,20.5791,20.43,66,9,6.21,LY,1715417060
41,mondim de basto,41.4135,-7.9548,18.44,72,0,1.35,PT,1715417060
42,kochubeyevskoye,44.6442,41.8453,18.79,61,100,4.21,RU,1715417060
43,wailua homesteads,22.0669,-159.378,25.24,89,40,3.6,US,1715416607
44,yellowknife,62.456,-114.3525,3.01,99,100,10.29,CA,1715416576
45,badger,64.8,-147.5333,6.15,53,0,2.06,US,1715416603
46,kone,-21.0595,164.8658,20.66,75,76,2.27,NC,1715416628
47,lobujya,27.95,86.8167,0.38,76,32,2.55,NP,1715417061
48,isafjordur,66.0755,-23.124,6.02,87,75,1.03,IS,1715416568
49,tiksi,71.6872,128.8694,-2.36,93,100,3.5,RU,1715416601
50,puerto natales,-51.7236,-72.4875,-2.02,93,27,2.08,CL,1715416558
51,la'ie,21.6477,-157.9253,21.98,89,7,2.39,US,1715416598
52,ribeira grande,38.5167,-28.7,18.22,94,75,5.14,PT,1715416426
53,anadyr,64.75,177.4833,-0.72,80,100,1.0,RU,1715416573
54,albany,42.6001,-73.9662,9.96,93,100,0.45,US,1715416559
55,daman,20.4167,72.85,32.33,56,1,5.51,IN,1715416477
56,thompson,55.7435,-97.8558,6.09,81,75,1.03,CA,1715416568
57,port augusta,-32.5,137.7667,14.57,85,98,4.0,AU,1715416632
58,kazaure,12.6513,8.4162,37.26,28,87,4.77,NG,1715417063
59,iqaluit,63.7506,-68.5145,-0.15,93,100,6.69,CA,1715416579
60,qarqaraly,49.4058,75.4742,9.95,62,100,3.71,KZ,1715417064
61,ubinskoye,55.3068,79.6802,14.38,31,100,6.14,RU,1715417064
62,sinabang,2.4803,96.3801,28.6,81,93,3.75,ID,1715417064
63,kodiak,57.79,-152.4072,3.73,87,100,2.57,US,1715416601
64,pachino,36.7186,15.0907,18.92,70,2,2.19,IT,1715417065
65,gasa,31.5,34.4667,24.6,48,100,4.87,PS,1715416994
66,vila franca do campo,37.7167,-25.4333,18.27,99,70,2.31,PT,1715417066
67,rongelap,11.1635,166.8941,27.28,83,100,7.02,MH,1715416598
68,kargasok,59.0556,80.8572,12.2,37,90,3.13,RU,1715417049
69,susuman,62.7833,148.1667,3.32,73,100,1.34,RU,1715416593
70,bethel,41.3712,-73.414,7.42,89,100,0.0,US,1715416569
71,bengkulu,-3.8004,102.2655,29.62,74,88,2.09,ID,1715416514
72,bude,50.8243,-4.5413,20.03,79,100,1.34,GB,1715417067
73,vorgashor,67.5833,63.95,-1.78,86,61,2.92,RU,1715416592
74,ochakiv,46.6128,31.5498,17.26,47,23,2.55,UA,1715417067
75,atafu village,-8.5421,-172.5159,29.65,73,87,4.57,TK,1715416623
76,nema,57.5067,50.5011,6.98,67,100,5.44,RU,1715417068
77,sitka,57.0531,-135.33,6.94,76,75,0.0,US,1715416604
78,rio grande,-32.035,-52.0986,17.3,92,100,3.71,BR,1715416620
79,farasan,16.7022,42.1183,31.77,74,56,4.06,SA,1715417069
80,broome,42.2506,-75.833,9.38,97,100,2.06,US,1715417070
81,changyon,38.2508,125.0961,13.87,76,100,2.82,KP,1715417070
82,tolanaro,-25.0319,46.9987,28.04,61,20,4.12,MG,1715417061
83,punta arenas,-53.15,-70.9167,3.06,81,0,7.72,CL,1715416583
84,west island,-12.1568,96.8225,28.99,84,75,5.14,CC,1715416582
85,edinburgh of the seven seas,-37.0676,-12.3116,17.12,90,100,12.88,SH,1715416558
86,kilju,40.9642,129.3278,16.18,85,100,4.76,KP,1715417071
87,hawaiian paradise park,19.5933,-154.9731,22.8,98,100,0.45,US,1715416570
88,st. john's,47.5649,-52.7093,1.07,96,100,4.47,CA,1715416655
89,ust'-ilimsk,58.0006,102.6619,19.13,27,100,4.02,RU,1715417072
90,la ronge,55.1001,-105.2842,15.14,44,20,2.57,CA,1715416884
91,konarka,19.9,86.1167,36.22,65,4,5.73,IN,1715417072
92,punta del este,-34.9667,-54.95,14.37,91,0,1.79,UY,1715417073
93,kruisfontein,-34.0033,24.7314,19.38,46,1,6.94,ZA,1715417073
94,utrik,11.2278,169.8474,27.28,82,100,6.87,MH,1715416582
95,chonchi,-42.6128,-73.8092,5.07,95,48,0.5,CL,1715416628
96,sao sebastiao,-23.76,-45.4097,22.6,77,100,1.58,BR,1715417073
97,las lomitas,-24.7096,-60.593,17.87,92,88,2.74,AR,1715417074
98,xinyuan,37.3,99.0,11.23,24,43,1.31,CN,1715417074
99,uige,-7.6087,15.0613,30.72,38,83,2.04,AO,1715417074
100,esperalvillo,18.8151,-70.0356,24.47,97,37,0.96,DO,1715417074
101,argo,37.6333,22.7333,20.93,46,36,4.87,GR,1715417075
102,as sulayyil,20.4607,45.5779,36.14,12,7,6.48,SA,1715416630
103,san antonio de pale,-1.4014,5.6325,26.55,88,70,5.43,GQ,1715416633
104,santa elena de uairen,4.6167,-61.1333,19.77,94,95,1.17,VE,1715417075
105,sao miguel do araguaia,-13.275,-50.1628,19.88,62,6,1.73,BR,1715417076
106,abnub,27.2696,31.1511,31.12,14,0,6.26,EG,1715417076
107,fort-shevchenko,44.5086,50.263,18.98,53,38,4.75,KZ,1715417076
108,cabo san lucas,22.8909,-109.9124,22.56,62,40,6.03,MX,1715416570
109,krylovskaya,46.3194,39.9711,22.18,47,43,3.8,RU,1715417077
110,port lincoln,-34.7333,135.8667,14.8,80,99,2.96,AU,1715416532
111,vadso,70.0744,29.7487,4.09,70,20,5.14,NO,1715416663
112,new norfolk,-42.7826,147.0587,11.51,92,48,0.35,AU,1715416588
113,mount isa,-20.7333,139.5,26.87,47,100,5.14,AU,1715416603
114,inari,68.906,27.0288,4.42,86,16,2.7,FI,1715417078
115,happy valley-goose bay,53.3168,-60.3315,-2.83,93,0,1.03,CA,1715416644
116,coquimbo,-29.9533,-71.3436,9.85,81,0,2.57,CL,1715416602
117,dabou,5.3256,-4.3769,29.43,75,50,3.25,CI,1715417079
118,saint-philippe,-21.3585,55.7679,27.77,79,42,7.03,RE,1715416651
119,port saint john's,-31.6229,29.5448,20.87,58,14,4.97,ZA,1715416605
120,lucapa,-8.4192,20.7447,28.88,34,98,2.43,AO,1715417080
121,balkashino,52.5167,68.7667,12.84,32,4,6.67,KZ,1715417080
122,kaiapoi,-43.3783,172.6401,5.19,75,2,2.06,NZ,1715417080
123,fale old settlement,-9.3852,-171.2468,29.25,74,14,3.68,TK,1715416586
124,si sa ket,14.8333,104.3333,36.79,39,86,1.37,TH,1715417081
125,pogar,52.554,33.2591,10.92,51,47,7.17,RU,1715417081
126,brazzaville,-4.2658,15.2832,29.17,78,75,2.57,CG,1715417081
127,namibe,-15.1961,12.1522,25.27,67,0,2.24,AO,1715416581
128,tataouine,32.9297,10.4518,22.38,42,0,2.29,TN,1715417081
129,porto novo,6.4965,2.6036,30.9,61,35,3.24,BJ,1715416574
130,rosetta,31.4044,30.4164,21.72,64,0,6.49,EG,1715417082
131,talnakh,69.4865,88.3972,0.09,92,100,1.57,RU,1715416569
132,parkes,-33.1333,148.1833,15.2,83,41,1.79,AU,1715417045
133,anacapri,40.5558,14.2136,22.34,57,0,1.77,IT,1715417082
134,udachny,66.4167,112.4,-3.64,62,100,2.43,RU,1715416576
135,shijiang,27.0819,110.7933,21.32,97,100,0.68,CN,1715417083
136,hammerfest,70.6634,23.6821,4.25,81,75,4.12,NO,1715416579
137,xilin hot,43.9667,116.0333,11.19,44,94,9.18,CN,1715417083
138,barabai,-2.5833,115.3833,30.01,78,94,1.07,ID,1715417084
139,keflavik,64.0049,-22.5624,9.24,93,100,7.2,IS,1715416970
140,mao,39.8885,4.2658,21.31,46,0,4.12,ES,1715417084
141,pulaski,34.7668,-92.3001,15.06,85,0,0.45,US,1715417084
142,sinop,41.7711,34.8709,16.25,74,100,1.83,TR,1715416792
143,kingston,17.997,-76.7936,27.53,78,20,1.03,JM,1715416584
144,waverly,42.7392,-84.6208,11.09,88,100,5.66,US,1715417085
145,stephenville,32.2207,-98.2023,18.85,80,75,0.0,US,1715417085
